KSRTC, SUPERFAST, KAZ, KLM, 08:00
KSRTC, CITYFAST, EF, VLN, 01:00  , 02:00
TNSRTC, INTERSTATE, T , CHN, 10:00  , 01:00
KSRTC, SUPERFAST, TRV, BNG, 09:30  , 12:30
Private Bus, EXPRESS, MYS, CBE, 11:00  , 03:00
KSRTC, LOCAL, KLM, TRV, 07:00  , 09:00
TNSRTC, CITYLINK, MAD, HYD, 12:00  , 03:00
Private Bus, EXPRESS, BLR, MAA, 8:30  , 01:30
KSRTC, INTERCITY, KLM, MYS, 10:00  , 12:00
Private Bus, RAPID, VLR, ERO, 11:30  , 02:30
KSRTC, CITYFAST, BNG, MYS, 02:30  , 03:30
TNSRTC, INTERSTATE, VLR, BNG, 09:00  , 12:00
Private Bus, EXPRESS, TRV, MAA, 07:00  , 1:00
KSRTC, SUPERFAST, KLM, BNG, 08:00  , 11:00
KSRTC, CITYFAST, EF, VLN, 01:00  , 02:00
TNSRTC, INTERSTATE, T , CHN, 10:00  , 01:00
Private Bus, EXPRESS, KZK, BNG, 9:00  , 012:00
KSRTC, LOCAL, MYS, CBE, 07:30  , 10:30
Private Bus, RAPID, MAA, VLR, 01:00  , 04:00
Private Bus, EXPRESS,KLM,VJM,02:00   ,03:00
