KSRTC, SUPERFAST, KAZ, KLM, 8:00 AM, 11:00 AM
KSRTC, CITYFAST, EF, VLN, 1:00 PM, 2:00 PM
TNSRTC, INTERSTATE, TAM, CHN, 10:00 AM, 1:00 AM
KSRTC, SUPERFAST, TRV, BNG, 9:30 AM, 12:30 PM
Private Bus, EXPRESS, MYS, CBE, 11:00 AM, 3:00 PM
KSRTC, LOCAL, KLM, TRV, 7:00 AM, 9:00 AM
TNSRTC, CITYLINK, MAD, HYD, 12:00 PM, 3:00 PM
Private Bus, EXPRESS, BLR, MAA, 8:30 AM, 1:30 PM
KSRTC, INTERCITY, KLM, MYS, 10:00 AM, 12:00 PM
Private Bus, RAPID, VLR, ERO, 11:30 AM, 2:30 PM
KSRTC, CITYFAST, BNG, MYS, 2:30 PM, 3:30 PM
TNSRTC, INTERSTATE, VLR, BNG, 9:00 AM, 12:00 PM
Private Bus, EXPRESS, TRV, MAA, 7:00 AM, 1:00 PM
KSRTC, SUPERFAST, KLM, BNG, 8:00 AM, 11:00 AM
KSRTC, CITYFAST, EF, VLN, 1:00 PM, 2:00 PM
TNSRTC, INTERSTATE, TAM, CHN, 10:00 AM, 1:00 AM
Private Bus, EXPRESS, KZK, BNG, 9:00 AM, 12:00 PM
KSRTC, LOCAL, MYS, CBE, 7:30 AM, 10:30 AM
Private Bus, RAPID, MAA, VLR, 1:00 PM, 4:00 PM
Private Bus, EXPRESS,KLM,VJM,2:00 PM ,3:00 PM
